id,companyName,fuel,fuelSource,unit,price,lastUpdated,type,street,houseNumber,postalCode,city,county,country,longitude,latitude
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner StraÃe,275,9020,Klagenfurt,KÃ¤rnten,Ãsterreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner StraÃe,221,9020,Klagenfurt,KÃ¤rnten,Ãsterreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner StraÃe,130,9020,Klagenfurt,KÃ¤rnten,Ãsterreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,PER_LITER,1.679,2022-10-03T18:10:26.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T19:05:21.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-03T18:55:20.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
1099197,JET,GASOLINE_SUPER,ECONTROL,,,2022-10-03T23:00:35.000Z,LOCATION,Feldkirchner Straße,130,9020,Klagenfurt,Kärnten,Österreich,14.291466,46.640546
1140220,Avanti,GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,275,9020,Klagenfurt,Kärnten,Österreich,14.2804529,46.653885
1210531,DISKONT Tankstelle (HOFER Parkplatz),GASOLINE_SUPER,ECONTROL,PER_LITER,1.674,2022-10-04T00:05:16.000Z,LOCATION,Feldkirchner Straße,221,9020,Klagenfurt,Kärnten,Österreich,14.284192,46.64993984
